name,app_id,reviews_count,price_usd,release_year,genres
Terraria,105600,1120927,9.99,2011,Action
Terraria,105600,1120927,9.99,2011,Adventure
Terraria,105600,1120927,9.99,2011,Indie
Terraria,105600,1120927,9.99,2011,RPG
Garry's Mod,4000,996840,5.99,2006,Casual
Garry's Mod,4000,996840,5.99,2006,Indie
Garry's Mod,4000,996840,5.99,2006,Simulation
Black Myth: Wukong,2358720,834392,59.99,2024,Action
Black Myth: Wukong,2358720,834392,59.99,2024,Adventure
Black Myth: Wukong,2358720,834392,59.99,2024,RPG
The Witcher 3: Wild Hunt,292030,771818,39.99,2015,RPG
Stardew Valley,413150,755165,14.99,2016,Indie
Stardew Valley,413150,755165,14.99,2016,RPG
Stardew Valley,413150,755165,14.99,2016,Simulation
Left 4 Dead 2,550,732428,0.99,2009,Action
Euro Truck Simulator 2,227300,685799,19.99,2012,Indie
Euro Truck Simulator 2,227300,685799,19.99,2012,Simulation
Baldur's Gate 3,1086940,669355,59.99,2023,Adventure
Baldur's Gate 3,1086940,669355,59.99,2023,RPG
Baldur's Gate 3,1086940,669355,59.99,2023,Strategy
Phasmophobia,739630,625641,19.99,2020,Action
Phasmophobia,739630,625641,19.99,2020,Indie
Phasmophobia,739630,625641,19.99,2020,Early Access
The Forest,242760,533126,19.99,2018,Action
The Forest,242760,533126,19.99,2018,Adventure
The Forest,242760,533126,19.99,2018,Indie
The Forest,242760,533126,19.99,2018,Simulation
Lethal Company,1966720,392376,9.99,2023,Action
Lethal Company,1966720,392376,9.99,2023,Adventure
Lethal Company,1966720,392376,9.99,2023,Indie
Lethal Company,1966720,392376,9.99,2023,Early Access
Hollow Knight,367520,369906,14.99,2017,Action
Hollow Knight,367520,369906,14.99,2017,Adventure
Hollow Knight,367520,369906,14.99,2017,Indie
Portal 2,620,359554,1.99,2011,Action
Portal 2,620,359554,1.99,2011,Adventure
Dying Light,239140,342204,8.99,2025,Action
Dying Light,239140,342204,8.99,2025,RPG
Don't Starve Together,322330,341198,14.99,2016,Action
Don't Starve Together,322330,341198,14.99,2016,Adventure
Don't Starve Together,322330,341198,14.99,2016,Indie
Don't Starve Together,322330,341198,14.99,2016,RPG
Don't Starve Together,322330,341198,14.99,2016,Simulation
Don't Starve Together,322330,341198,14.99,2016,Strategy
Bloons TD 6,960090,312497,13.99,2018,Strategy
The Binding of Isaac: Rebirth,250900,310107,14.99,2014,Action
BeamNG.drive,284160,296115,24.99,2015,Racing
BeamNG.drive,284160,296115,24.99,2015,Simulation
BeamNG.drive,284160,296115,24.99,2015,Early Access
Subnautica,264710,282436,29.99,2018,Adventure
Subnautica,264710,282436,29.99,2018,Indie
Deep Rock Galactic,548430,273520,29.99,2020,Action
People Playground,1118200,263816,9.99,2019,Action
People Playground,1118200,263816,9.99,2019,Casual
People Playground,1118200,263816,9.99,2019,Indie
People Playground,1118200,263816,9.99,2019,Simulation
Hades,1145360,258254,24.99,2020,Action
Hades,1145360,258254,24.99,2020,Indie
Hades,1145360,258254,24.99,2020,RPG
Undertale,391540,242510,2.49,2015,Indie
Undertale,391540,242510,2.49,2015,RPG
Vampire Survivors,1794680,237402,3.99,2022,Action
Vampire Survivors,1794680,237402,3.99,2022,Casual
Vampire Survivors,1794680,237402,3.99,2022,Indie
Vampire Survivors,1794680,237402,3.99,2022,RPG
Sekiro™: Shadows Die Twice - GOTY Edition,814380,234002,59.99,2019,Action
Sekiro™: Shadows Die Twice - GOTY Edition,814380,234002,59.99,2019,Adventure
Titanfall® 2,1237970,226520,29.99,2020,Action
Satisfactory,526870,195714,39.99,2024,Adventure
