name,app_id
HoloCure - Save the Fans!,2420510
A Short Hike,1055540
Papa's Freezeria Deluxe,2291760
Cats Hidden in Jingle Jam,2608050
The WereCleaner,2795000
Paper Lily - Chapter 1,2220360
TOEM: A Photo Adventure,1307580
Project Kat - Paper Lily Prologue,1698960
"Please, Touch The Artwork 2",2600140
Ib,1901370
Lil Gator Game,1586800
Patrick's Parabox,1260520
A Castle Full of Cats,2070550
Look Outside,3373660
The Upturned,1717770
A Tower Full of Cats,2179170
Dialtown: Phone Dating Sim,1035990
Smushi Come Home,1740300
"South Scrimshaw, Part One",2443110
Angel at Dusk,1405500
The Void Rains Upon Her Heart,790060
Monster Prom 4: Monster Con,2869860
Super Lesbian Animal RPG,2124380
Aokana - Four Rhythms Across the Blue - EXTRA2,2206340
Flowers -Le volume sur ete-,858940
Great God Grove,2840190
of the Devil,2739630
Moonleap,2166050
Beastieball,1864950
Hidden in Plain Sight,303590
DFHack - Dwarf Fortress Modding Engine,2346660
A YEAR OF SPRINGS,1688580
Purrfect Apawcalypse: Love at Furst Bite,1532510
Seal World,1684410
Poco,3454610
Higurashi When They Cry Hou - Ch.6 Tsumihoroboshi,668350
DEVIL BLADE REBOOT,2882440
Moss: Book II,2059670
Deadeye Deepfake Simulacrum,1545990
her tears were my light,2112520
Duck Detective: The Ghost of Glamping,2714620
Fractal Block World,1540570
Don't Escape Trilogy,1070550
Stardew Valley,413150
Portal 2,620
People Playground,1118200
Hades,1145360
Vampire Survivors,1794680
Schedule I,3164500
Portal,400
MiSide,2527500
Half-Life: Alyx,546560
Katana ZERO,460950
Pizza Tower,2231450
OneShot,420530
The Henry Stickmin Collection,1089980
VPet-Simulator,1920960
A Hat in Time,253230
Senren＊Banka,1144400
ENA: Dream BBQ,2134320
Chants of Sennaar,1931770
ATRI -My Dear Moments-,1230140
Rhythm Doctor,774181
Baba Is You,736260
VTOL VR,667970
Cats Hidden in Paris,2313250
Sheepy: A Short Adventure,1568400
The Room 4: Old Sins,1361320
Neon White,1533420
Grimm's Hollow,1170880
Our Life: Beginnings & Always,1129190
One Finger Death Punch,264200
Bomb Rush Cyberfunk,1353230
Wobbledogs,1424330
A Date with Death,2415010
shapez 2,2162800
Tactical Breach Wizards,1043810
Trombone Champ,1059990
CLANNAD,324160
Steam Engine Simulator,2381620
The Case of the Golden Idol,1677770
20 Small Mazes,2570630
Kind Words (lo fi chill beats to write to),1070710
An Arcade Full of Cats,2368470
Gravitas,1067310
Cube Escape Collection,1292940
Lost in Play,1328840
CULTIC,1684930
Hylics,397740
100 hidden frogs,1806840
